0,1,date,place,accompanying text,link
-80.153935,25.846208,1/11/17,K-12,"Trump, Muslims-Matter, Fascism",www.philly.com/philly/education/400732361.html
-80.051986,26.586736,5/10/17,public space,"TRUMP, @TX2againsttrump",www.citypages.com/news/swastika-spotted-on-st-paul-jogging-path/400812041
-74.444395,40.486754,1/15/16,public space,Attention-F**gots!!-We-could-Live-Next-Door,www.bellevuereporter.com/news/bellevue-police-investigating-swastika-graffiti-in-downtown-park/
-74.352814,40.105164,1/20/16,K-12,Jews-Belong-in-the-Oven,www.bethesdamagazine.com/Bethesda-Beat/Web-2016/Swastikas-Drawn-in-Boys-Bathroom-at-Westland-Middle-School/
-122.508129,48.754092,1/31/16,public space,We're-Watching-You,www.thestranger.com/slog/2016/11/14/24690932/a-swastika-appears-in-capitol-hill-the-after-effects-of-trump-are-real
-121.803388,47.432251,2/2/16,local business,"KKK, 666, Police, War, USA",wjla.com/news/local/swastikas-scratched-onto-vehicle-in-virginia
-75.11787,40.001811,2/5/16,college,Nazi's-Rule,www.washingtonian.com/2016/11/11/swastika-drawing-words-go-trump-reported-american-university/
-121.705327,37.189396,2/9/16,college,"Trump-4-Life, H-Town, Trump,",www.twcnews.com/nys/rochester/news/2016/11/12/swastika-and-trump-graffiti-found-in-geneseo-campus-dorm.html
-74.444395,40.486754,2/12/16,public space,Tod-fur-die-Juden,www.gazettenet.com/Easthampton-residents-come-together-to-clean-hateful-graffiti-off-Mt-Tom-5973815
-89.423861,43.06956,2/18/16,college,You're-Gonna-Burn,www.nydailynews.com/new-york/manhattan/series-swastika-graffiti-found-nyc-new-school-dorm-article-1.2870704
-120.62122,35.265573,2/23/16,college,"KKK, Ni*ger",www.pennlive.com/news/2016/11/susquehanna_president_deeply_c.html
-71.20849,42.351824,2/25/16,college,Why-are-the-Ovens-Getting-Hotter?,thedmonline.com/student-reports-swastika-drawn-dormitory-elevator/
-71.20849,42.351824,2/25/16,religious institution,Where-will-you-be-when-the-race-war-begins?; when-the-world-burns?; Join-your-local-Nazis!; Congregating-near-you!; The-Attomwaffen-Division,dailycaller.com/2017/05/04/yet-another-hate-crime-turns-out-to-be-a-hoax/
-95.309789,29.813142,3/1/16,private property,Heil-Hitler,www.spokesman.com/stories/2016/nov/16/police-investigate-swastika-spray-painted-on-logan/
-73.725825,40.626453,3/8/16,public space,Build-the-Wall; Trump-Train-Woo-Woo!!; You-just-got-your-last- peso-from-my-family-see-you-in-Mex; Then-I-cannot-support-you!; Fuck-U; never-again,www.nydailynews.com/new-york/brooklyn/swastika-spray-painted-heart-jewish-area-brooklyn-article-1.2871400
-87.62213,41.88531,3/11/16,public space,Joe-Mengele,patch.com/new-jersey/fairlawn-saddlebrook/man-arrested-after-swastikas-found-fair-lawn-residence-police
-79.95786,37.274175,3/27/16,religious institution,White-Man-are-you-sick-of-the-Jews-destroying-your-country-through-mass-immigration-and-degeneracy?; Join-us-in-the-struggle-for-global-white-supremacy-at-The-Daily-Stormer.,www.nbc-2.com/story/33743228/hateful-graffiti-at-st-pete-church-includes-swastika
-72.464571,42.367092,3/28/16,public space,I'm-watching,www.timesunion.com/local/article/Another-swastika-found-in-Saratoga-Springs-10640967.php
-87.62213,41.88531,3/29/16,college,Trump,pilotonline.com/news/local/education/higher-education/swastika-in-trump-found-in-bathroom-at-college-of-william/article_a6d2ff3b-1757-5814-a6ad-68b40b00e97c.html
-87.62213,41.88531,3/30/16,public space,All-n***ers-must-die,patch.com/connecticut/branford/discovery-swastika-branford-leads-swift-rebuke-residents-report
-71.2398,42.388938,4/1/16,local business,"1210-&-ant, GIO",www.mlive.com/news/jackson/2016/11/police_investigate_swastika_va.html
-70.273642,43.576983,4/3/16,private property,Kill-Jews,nypost.com/2016/11/16/jewish-and-openly-gay-senator-finds-swastika-etched-outside-home/
-87.62213,41.88531,4/8/16,private property,Get-out,www.oregonlive.com/portland/2016/11/happy_valley_home_vandalized_w.html
-118.248405,33.973951,4/14/16,private property,Race-Office,www.thedenverchannel.com/news/local-news/transgender-womans-car-vandalized-with-hate-speech-pro-trump-message-in-denvers-capitol-hill
-86.888624,36.51351,4/15/16,college,We-will-Rise-and-Gas-you-Bitch,nyulocal.com/gramercy-residents-find-swastika-sticky-note-on-dorm-door-6da7b3c14eca?gi=186af08a5f34
-85.239429,33.998841,4/23/16,college,"Kill-all-the-Jews, Hail-Hitler",www.telegram.com/news/20161118/holy-cross-investigating-swastika-found-on-campus
-77.207617,39.143979,4/24/16,K-12,White-Man-are-you-sick-of-the-Jews-destroying-your-country-through-mass-immigration-and-degeneracy?; Join-us-in-the-struggle-for-global-white-supremacy-at-The-Daily-Stormer.,www.clickorlando.com/news/student-put-swastika-on-classmate-deputies-say
-88.244266,40.10789,4/28/16,K-12,"HUWYTE-PWR, Heil-Trump",pix11.com/2016/11/18/swastika-found-in-port-washington-high-school-bathroom-officials/
-88.211024,40.108966,4/29/16,religious institution,"Get-Out, Next-Time-it's-going-to-be-a-Fire",vtdigger.org/2016/11/17/swastika-found-middlebury-jewish-center/
-81.365039,28.666625,5/1/16,public space,N***er,www.npr.org/sections/thetwo-way/2016/11/19/502710608/swastikas-are-painted-at-adam-yauch-park-in-nyc-but-kids-win-the-day
-122.223779,37.786027,5/20/16,abandoned structure,Heil-Hitler,www.bostonglobe.com/metro/2016/11/20/swastika-found-shuttered-billerica-school-building/jrBLxTVvCRzv3u4tw8WHFO/story.html
-70.701357,41.970474,5/25/16,public park,shalom,patch.com/connecticut/ridgefield/swastika-found-ridgefields-ballard-park-one-several-area
-123.080181,44.067988,5/30/16,public space,Just-Say-No-to-Jewish-Lies; Aryan-Underground,patch.com/connecticut/ridgefield/swastika-found-ridgefields-ballard-park-one-several-area
-83.6464,42.658533,6/21/16,public transportation,Toasted-Jews,gothamist.com/2016/11/21/swastikas_pro-trump_graffiti_found.php
-74.91731,39.955912,7/19/16,private property,"KKK, whites-only",dailycaller.com/2016/11/21/vandals-paint-swastika-on-trump-supporters-door/
-73.98827,41.149494,7/24/16,K-12,"White-Power, White-Suppremacy",www.thedenverchannel.com/news/front-range/denver/denver-elementary-school-defaced-with-swastika-over-the-weekend
